Verb-Subject,Selectional_Association
"('swim', 'kid')",0.003015953751152413
"('enjoy', 'person')",0.8387718017782706
"('run', 'dog')",0.011515340733660263
"('sit', 'animal')",0.055303006246332664
"('stand', 'dog')",0.08875247390475599
"('walk', 'father')",0.007354209288593273
"('fight', 'person')",0.5064400973655508
"('play', 'artist')",0.16193975870647281
"('run', 'player')",-0.09341956745110533
"('stand', 'puppy')",0.11392245763649705
"('feed', 'woman')",0.24733103507850393
"('walk', 'boy')",0.02508195409408636
"('dive', 'person')",0.34229995779511463
"('run', 'team')",0.037103182501487475
"('propose', 'person')",1.0
"('jump', 'woman')",0.02168198119125806
"('enjoy', 'man')",-0.018165592763704254
"('play', 'girl')",-0.009494449185401802
"('pitch', 'person')",0.30202262842002375
"('play', 'guitarist')",0.0771275654760204
"('flow', 'moon')",0.08211563118097295
"('sit', 'baby')",0.009114338546334831
"('return', 'player')",0.8434558582507775
"('run', 'boy')",0.2204714948752173
"('pitch', 'player')",0.4829671266657517
"('pound', 'wave')",1.0
"('take', 'soldier')",0.02371980448032312
"('arrive', 'cinematographer')",0.03973613038206952
"('picture', 'person')",0.13473245358074107
"('prepare', 'team')",0.46144830623443234
"('direct', 'player')",0.4845036172893319
"('thank', 'player')",0.9386645220726071
"('applaud', 'player')",0.4199098954029915
"('play', 'child')",0.016693025971209932
"('climb', 'man')",0.2216351553589021
"('slide', 'player')",1.0083244276532481
"('throw', 'player')",0.5615830284119727
"('hold', 'man')",-0.006995107027892809
"('gather', 'player')",0.3345936774141966
"('lie', 'kitten')",0.0872856230138959
"('capture', 'person')",1.0
"('sweep', 'man')",1.0
"('hitchhike', 'girl')",0.6789976030496966
"('reach', 'person')",0.17183197447127402
"('pass', 'person')",-0.005343694243168667
"('rest', 'dog')",0.2516374128385913
"('perform', 'man')",-0.02325797801172877
"('dance', 'man')",-0.04284828789744191
"('greet', 'person')",0.19648003537406777
"('lay', 'person')",-0.051695743944135154
"('celebrate', 'footballer')",0.11673383574443402
"('sit', 'teenager')",0.02050351823905455
"('direct', 'person')",0.21513150922365612
"('walk', 'horse')",-0.0052211416755319024
"('pose', 'person')",0.13088410972363929
"('run', 'animal')",0.03691052402107253
"('jump', 'person')",-0.05902316729797792
"('teach', 'person')",0.74640683819131
"('score', 'winger')",0.0848714257472008
"('arrive', 'actor')",0.25382371096997736
"('vie', 'player')",0.23981617618936765
"('lie', 'boy')",0.009439197574355187
"('crash', 'wave')",0.9906215850459112
"('compete', 'person')",0.43815605174840494
"('hang', 'girl')",0.04326378906777933
"('cross', 'lady')",0.026967682281046505
"('kick', 'player')",0.5812268092924832
"('hold', 'girl')",-0.04520587980291316
"('hike', 'woman')",0.04450982897271785
"('feed', 'person')",-0.05163621724482905
"('walk', 'child')",0.042344778037730714
"('take', 'athlete')",0.036620630230677874
"('play', 'kid')",0.11060626379739782
"('punt', 'player')",0.8591458355907352
"('pass', 'player')",0.1299558131416295
"('stand', 'bride')",-0.00878050170582381
"('go', 'person')",0.15271047146799369
"('save', 'player')",0.847532712402693
"('balance', 'player')",0.6086299701170979
"('save', 'person')",-0.007539896527135805
"('hit', 'woman')",-0.03791763644187468
"('move', 'cloud')",0.1580595712911777
"('talk', 'person')",-0.06107688565187723
"('strike', 'player')",0.5446052543204395
"('keep', 'player')",0.6285298363929529
"('walk', 'daughter')",0.04952976176369386
"('take', 'mother')",0.0652435067583944
"('stroll', 'couple')",0.4238558780479332
"('get', 'person')",0.25985074645562445
"('rest', 'man')",-0.022789742611230204
"('perform', 'vocalist')",0.04620325499700214
"('lean', 'man')",0.5593988558261593
"('perform', 'dancer')",0.08823900688653497
"('wander', 'person')",0.9539119130904085
"('take', 'actor')",0.1892735463335609
"('knock', 'player')",0.03555988324502125
"('get', 'player')",0.5090331767336357
"('swim', 'woman')",-0.04799946229467241
"('perch', 'person')",0.09972782255132202
"('play', 'man')",-0.08051667454297243
"('collide', 'player')",1.0
"('lie', 'puppy')",0.07316849795418649
"('pull', 'person')",-0.03123002711978911
"('sing', 'artist')",0.6128184005259593
"('score', 'person')",-0.002508184483641948
"('come', 'wave')",0.07476468317246487
"('perform', 'woman')",-0.022955958018987612
"('swim', 'girl')",-0.010156128018617457
"('cross', 'child')",0.2411798596417151
"('stand', 'lady')",-0.005626862695014153
